epoch,step,train_loss,val_loss
0,49,0.3235000967979431,
0,99,0.32597246766090393,
0,149,0.3178287744522095,
0,199,0.32425230741500854,
0,220,,0.3180815577507019
1,249,0.3233760595321655,
1,299,0.2975693345069885,
1,349,0.32677510380744934,
1,399,0.3266991972923279,
1,441,,0.32666829228401184
2,449,0.32671400904655457,
2,499,0.3267812430858612,
2,549,0.323497474193573,
2,599,0.32690271735191345,
2,649,0.32671666145324707,
2,662,,0.32651129364967346
3,699,0.3253515064716339,
3,749,0.3267838954925537,
3,799,0.29230913519859314,
3,849,0.3191179037094116,
3,883,,0.31169724464416504
4,899,0.29118892550468445,
4,949,0.3223256468772888,
4,999,0.32652390003204346,
4,1049,0.3267413079738617,
4,1099,0.32674288749694824,
4,1104,,0.3267320692539215
5,1149,0.3267502188682556,
5,1199,0.3267887234687805,
5,1249,0.32499921321868896,
5,1299,0.326846718788147,
5,1325,,0.32669106125831604
6,1349,0.326813668012619,
6,1399,0.32683825492858887,
6,1449,0.3267908990383148,
6,1499,0.32684028148651123,
6,1546,,0.32654857635498047
7,1549,0.3267509341239929,
7,1599,0.32679086923599243,
7,1649,0.32677778601646423,
7,1699,0.32687151432037354,
7,1749,0.3232276439666748,
7,1767,,0.3064350187778473
8,1799,0.2936941385269165,
8,1849,0.2545989155769348,
8,1899,0.27119046449661255,
8,1949,0.28502434492111206,
8,1988,,0.27811166644096375
9,1999,0.24452519416809082,
9,2049,0.255144864320755,
9,2099,0.31650614738464355,
9,2149,0.2634110152721405,
9,2199,0.21666549146175385,
9,2209,,0.259616494178772
10,2249,0.29758989810943604,
10,2299,0.32510119676589966,
10,2349,0.23876330256462097,
10,2399,0.20792710781097412,
10,2430,,0.28841838240623474
11,2449,0.1983231008052826,
11,2499,0.28841304779052734,
11,2549,0.2603616714477539,
11,2599,0.2911640703678131,
11,2649,0.22061745822429657,
11,2651,,0.24452917277812958
12,2699,0.29128628969192505,
12,2749,0.157936692237854,
12,2799,0.32489094138145447,
12,2849,0.21705538034439087,
12,2872,,0.22925333678722382
13,2899,0.20962554216384888,
13,2949,0.17456553876399994,
13,2999,0.20166102051734924,
13,3049,0.20585063099861145,
13,3093,,0.22458593547344208
14,3099,0.24974852800369263,
14,3149,0.20486339926719666,
14,3199,0.22151415050029755,
14,3249,0.20809432864189148,
14,3299,0.27329230308532715,
14,3314,,0.21818721294403076
15,3349,0.2003101408481598,
15,3399,0.19083619117736816,
15,3449,0.24410919845104218,
15,3499,0.2449333667755127,
15,3535,,0.21658073365688324
16,3549,0.17115068435668945,
16,3599,0.22025994956493378,
16,3649,0.18592248857021332,
16,3699,0.19260869920253754,
16,3749,0.22806406021118164,
16,3756,,0.20983637869358063
17,3799,0.18869999051094055,
17,3849,0.21353524923324585,
17,3899,0.19712480902671814,
17,3949,0.1555784046649933,
17,3977,,0.20787107944488525
18,3999,0.12667956948280334,
18,4049,0.20481400191783905,
18,4099,0.2078525424003601,
18,4149,0.17463639378547668,
18,4198,,0.20690883696079254
19,4199,0.22008827328681946,
19,4249,0.20064561069011688,
19,4299,0.1713462769985199,
19,4349,0.2247273176908493,
19,4399,0.1795617640018463,
19,4419,,0.21805118024349213
20,4449,0.1298101246356964,
20,4499,0.20136600732803345,
20,4549,0.2663189768791199,
20,4599,0.12469524145126343,
20,4640,,0.2044549435377121
21,4649,0.16054531931877136,
21,4699,0.19282764196395874,
21,4749,0.22326311469078064,
21,4799,0.18634197115898132,
21,4849,0.20710492134094238,
21,4861,,0.21983276307582855
22,4899,0.2484634816646576,
22,4949,0.17745153605937958,
22,4999,0.20851954817771912,
22,5049,0.1576971560716629,
22,5082,,0.19812653958797455
23,5099,0.22166065871715546,
23,5149,0.32274362444877625,
23,5199,0.19409166276454926,
23,5249,0.18903259932994843,
23,5299,0.16010689735412598,
23,5303,,0.20610295236110687
24,5349,0.2162315547466278,
24,5399,0.22429899871349335,
24,5449,0.2061798870563507,
24,5499,0.18634262681007385,
24,5524,,0.1997648924589157
25,5549,0.22520701587200165,
25,5599,0.18488256633281708,
25,5649,0.2639821171760559,
25,5699,0.2141301929950714,
25,5745,,0.19274930655956268
26,5749,0.18308840692043304,
26,5799,0.12941113114356995,
26,5849,0.19067512452602386,
