epoch,step,train_loss,val_loss
0,49,0.26762285828590393,
0,55,,5.853615760803223
1,99,0.5084439516067505,
1,111,,5.853615760803223
2,149,0.1943981945514679,
2,167,,5.853615760803223
3,199,0.09170229732990265,
3,223,,5.853615760803223
4,249,0.09976678341627121,
4,279,,5.853615760803223
5,299,0.12660500407218933,
5,335,,5.853615760803223
6,349,0.09540156275033951,
6,391,,5.853615760803223
7,399,0.15518884360790253,
7,447,,5.853615760803223
8,449,0.11367912590503693,
8,499,0.10116127133369446,
8,503,,5.853615760803223
9,549,0.07204369455575943,
9,559,,5.853615760803223
